FST_REGN,FST_YEAR,FST_MM,FST_CNT
경남,2003,6,1
경남,2003,7,2
경남,2003,8,1
경남,2003,9,1
경남,2003,10,6
경남,2003,11,1
경남,2003,12,0
경남,2004,1,0
경남,2004,2,0
경남,2004,3,1
경남,2004,4,2
경남,2004,5,6
경남,2004,6,1
경남,2004,7,2
경남,2004,8,1
경남,2004,9,1
경남,2004,10,6
경남,2004,11,2
경남,2004,12,0
경남,2005,1,0
경남,2005,2,0
경남,2005,3,1
경남,2005,4,2
경남,2005,5,7
경남,2005,6,1
경남,2005,7,2
경남,2005,8,1
경남,2005,9,1
경남,2005,10,6
경남,2005,11,2
경남,2005,12,1
경남,2006,1,0
경남,2006,2,0
경남,2006,3,1
경남,2006,4,3
경남,2006,5,7
경남,2006,6,3
경남,2006,7,2
경남,2006,8,1
경남,2006,9,1
경남,2006,10,6
경남,2006,11,2
경남,2006,12,1
경남,2007,1,1
경남,2007,2,0
경남,2007,3,2
경남,2007,4,3
경남,2007,5,7
경남,2007,6,3
경남,2007,7,2
경남,2007,8,1
경남,2007,9,3
경남,2007,10,7
경남,2007,11,2
경남,2007,12,1
경남,2008,1,1
경남,2008,2,0
경남,2008,3,2
경남,2008,4,4
경남,2008,5,7
경남,2008,6,3
경남,2008,7,2
경남,2008,8,1
경남,2008,9,3
경남,2008,10,7
경남,2008,11,2
경남,2008,12,1
경남,2009,1,1
경남,2009,2,0
경남,2009,3,2
경남,2009,4,5
경남,2009,5,7
경남,2009,6,3
경남,2009,7,2
경남,2009,8,1
경남,2009,9,3
경남,2009,10,7
경남,2009,11,2
경남,2009,12,1
경남,2010,1,1
경남,2010,2,0
경남,2010,3,2
경남,2010,4,5
경남,2010,5,7
경남,2010,6,3
경남,2010,7,2
경남,2010,8,1
경남,2010,9,3
경남,2010,10,7
경남,2010,11,2
경남,2010,12,1
경남,2011,1,1
경남,2011,2,0
경남,2011,3,2
경남,2011,4,5
경남,2011,5,7
경남,2011,6,3
경남,2011,7,2
경남,2011,8,1
경남,2011,9,4
경남,2011,10,9
경남,2011,11,2
경남,2011,12,1
경남,2012,1,1
경남,2012,2,0
경남,2012,3,2
경남,2012,4,5
경남,2012,5,7
경남,2012,6,3
경남,2012,7,2
경남,2012,8,1
경남,2012,9,5
경남,2012,10,9
경남,2012,11,2
경남,2012,12,1
경남,2013,1,1
경남,2013,2,0
경남,2013,3,2
경남,2013,4,5
경남,2013,5,7
경남,2013,6,3
경남,2013,7,3
경남,2013,8,1
경남,2013,9,5
경남,2013,10,9
경남,2013,11,2
경남,2013,12,2
경남,2014,1,1
경남,2014,2,0
경남,2014,3,2
경남,2014,4,5
경남,2014,5,7
경남,2014,6,3
경남,2014,7,3
경남,2014,8,1
경남,2014,9,5
경남,2014,10,10
경남,2014,11,2
경남,2014,12,2
경남,2015,1,0
경남,2015,2,0
경남,2015,3,0
경남,2015,4,8
경남,2015,5,9
경남,2015,6,1
경남,2015,7,4
경남,2015,8,2
경남,2015,9,4
경남,2015,10,15
경남,2015,11,0
경남,2015,12,0
경남,2016,1,0
경남,2016,2,0
경남,2016,3,0
경남,2016,4,8
경남,2016,5,9
경남,2016,6,1
경남,2016,7,4
경남,2016,8,2
경남,2016,9,4
경남,2016,10,15
경남,2016,11,0
경남,2016,12,0
경남,2017,1,0
경남,2017,2,0
경남,2017,3,2
경남,2017,4,7
경남,2017,5,7
경남,2017,6,2
경남,2017,7,3
경남,2017,8,4
경남,2017,9,6
경남,2017,10,12
경남,2017,11,1
경남,2017,12,1
경남,2018,1,1
경남,2018,2,0
경남,2018,3,1
경남,2018,4,14
경남,2018,5,6
경남,2018,6,3
경남,2018,7,8
경남,2018,8,2
경남,2018,9,6
경남,2018,10,14
경남,2018,11,1
경남,2018,12,2
경남,2019,1,1
경남,2019,2,0
경남,2019,3,3
경남,2019,4,14
경남,2019,5,6
경남,2019,6,5
경남,2019,7,4
경남,2019,8,2
경남,2019,9,8
경남,2019,10,17
경남,2019,11,1
경남,2019,12,1
경남,2020,1,3
경남,2020,2,1
경남,2020,3,5
경남,2020,4,13
경남,2020,5,0
경남,2020,6,0
경남,2020,7,0
경남,2020,8,0
경남,2020,9,0
경남,2020,10,0
경남,2020,11,0
경남,2020,12,0
경남,2021,1,3
경남,2021,2,1
경남,2021,3,4
경남,2021,4,13
경남,2021,5,13
경남,2021,6,6
경남,2021,7,9
경남,2021,8,4
경남,2021,9,15
경남,2021,10,24
경남,2021,11,7
경남,2021,12,4
경남,2022,1,1
경남,2022,2,2
경남,2022,3,7
경남,2022,4,16
경남,2022,5,12
경남,2022,6,8
경남,2022,7,8
경남,2022,8,10
경남,2022,9,8
경남,2022,10,29
경남,2022,11,4
경남,2022,12,5
경북,2002,1,0
경북,2002,2,0
경북,2002,3,0
경북,2002,4,0
경북,2002,5,1
경북,2002,6,1
경북,2002,7,2
경북,2002,8,1
경북,2002,9,3
경북,2002,10,4
경북,2002,11,1
경북,2002,12,0
경북,2003,1,0
경북,2003,2,0
경북,2003,3,0
경북,2003,4,0
경북,2003,5,1
경북,2003,6,1
경북,2003,7,2
경북,2003,8,1
경북,2003,9,4
경북,2003,10,4
경북,2003,11,1
경북,2003,12,0
경북,2004,1,0
경북,2004,2,0
경북,2004,3,0
경북,2004,4,0
경북,2004,5,1
경북,2004,6,1
경북,2004,7,2
경북,2004,8,1
경북,2004,9,4
경북,2004,10,5
경북,2004,11,1
경북,2004,12,0
경북,2005,1,0
경북,2005,2,0
경북,2005,3,0
경북,2005,4,0
경북,2005,5,2
경북,2005,6,1
경북,2005,7,2
경북,2005,8,1
경북,2005,9,5
경북,2005,10,6
경북,2005,11,1
경북,2005,12,0
경북,2006,1,0
경북,2006,2,0
경북,2006,3,0
경북,2006,4,0
경북,2006,5,2
경북,2006,6,1
경북,2006,7,2
경북,2006,8,1
경북,2006,9,5
경북,2006,10,8
경북,2006,11,1
경북,2006,12,0
경북,2007,1,0
경북,2007,2,0
경북,2007,3,0
경북,2007,4,0
경북,2007,5,2
경북,2007,6,1
경북,2007,7,2
경북,2007,8,1
경북,2007,9,6
경북,2007,10,9
경북,2007,11,1
경북,2007,12,0
경북,2008,1,0
경북,2008,2,0
경북,2008,3,1
경북,2008,4,0
경북,2008,5,2
경북,2008,6,1
경북,2008,7,2
경북,2008,8,1
경북,2008,9,6
경북,2008,10,9
경북,2008,11,1
경북,2008,12,0
경북,2009,1,0
경북,2009,2,0
경북,2009,3,1
경북,2009,4,1
경북,2009,5,2
경북,2009,6,2
경북,2009,7,2
경북,2009,8,1
경북,2009,9,6
경북,2009,10,10
경북,2009,11,1
경북,2009,12,0
경북,2010,1,0
경북,2010,2,0
경북,2010,3,1
경북,2010,4,1
경북,2010,5,2
경북,2010,6,2
경북,2010,7,2
경북,2010,8,1
경북,2010,9,7
경북,2010,10,10
경북,2010,11,1
경북,2010,12,0
경북,2011,1,0
경북,2011,2,0
경북,2011,3,1
경북,2011,4,1
경북,2011,5,4
경북,2011,6,2
경북,2011,7,2
경북,2011,8,1
경북,2011,9,7
경북,2011,10,11
경북,2011,11,1
경북,2011,12,0
경북,2012,1,0
경북,2012,2,0
경북,2012,3,1
경북,2012,4,2
경북,2012,5,4
경북,2012,6,2
경북,2012,7,2
경북,2012,8,1
경북,2012,9,8
경북,2012,10,11
경북,2012,11,1
경북,2012,12,0
경북,2013,1,0
경북,2013,2,0
경북,2013,3,1
경북,2013,4,2
경북,2013,5,4
경북,2013,6,2
경북,2013,7,2
경북,2013,8,1
경북,2013,9,10
경북,2013,10,12
경북,2013,11,1
경북,2013,12,0
경북,2014,1,0
