OCCRNC_YEAR,OCCRNC_MM,OCCRNC_REGN,OCCRNC_CNT,PATNT_CNT,OCCRNC_IND,HOL_IND,HOL_DUR,CPI_VALUE,WTHR_AVG_TEMP,WTHR_AVG_H_TEMP,WTHR_AVG_L_TEMP,WTHR_AVG_PRECIP,WTHR_AVG_WNDSPD,WTHR_MX_WNDSPD,WTHR_AVG_PRESS,WTHR_MX_PRESS,WTHR_MN_PRESS,WTHR_AVG_SEA_PRESS,WTHR_MX_SEA_PRESS,WTHR_MN_SEA_PRESS,WTHR_AVG_RHUM,WTHR_MN_RHUM,WTHR_SUM_SUNHR,FST_CNT,FST_IND,POP_GEN_CNT,POP_ELM_CNT,POP_MID_CNT,POP_HIGH_CNT,POP_60P_CNT,POP_STU_PER_SCH,POP_ELM_RATIO,POP_MID_RATIO,POP_HIGH_RATIO,POP_60P_RATIO,POP_DENS,GMS_LIC_CNT
2022,6,대구,0.0,0.0,0,1,3,108.28,24.3,29.7,19.8,81.8,2.4,7.9,1001.8,1009.6,989.3,1008.0,1016.0,995.4,71.0,20.0,205.9,1,1,2375306.0,125262.0,63479.0,63087.0,624231.0,513.5135699,0.0527351,0.026724557,0.026559525,0.262800246,2683.287855,5
2022,5,대구,3.0,10.0,1,1,4,107.75,20.7,27.4,14.1,4.2,2.5,9.1,1005.9,1016.1,992.3,1012.2,1022.6,998.3,50.0,17.0,313.3,7,1,2376676.0,125298.0,63541.0,62965.0,622443.0,513.5135699,0.052719849,0.026735239,0.026492883,0.261896447,2684.835489,4
2022,4,대구,0.0,0.0,0,0,0,107.09,15.9,22.7,9.4,38.5,2.2,8.5,1010.5,1024.4,994.7,1017.0,1031.1,1000.9,55.0,12.0,253.3,3,1,2378573.0,125403.0,63629.0,62926.0,620505.0,513.5135699,0.052721947,0.026750913,0.026455358,0.260872801,2686.978454,5
2022,3,대구,1.0,115.0,1,0,0,106.44,9.7,15.9,3.8,34.3,2.4,9.6,1010.8,1021.8,990.1,1017.4,1028.6,996.4,58.0,13.0,206.4,0,0,2380494.0,125399.0,63743.0,63045.0,619907.0,513.5135699,0.052677722,0.026777215,0.026483999,0.260411074,2689.14853,11
2022,2,대구,0.0,0.0,0,1,4,105.79,1.6,7.4,-3.4,0.1,3.1,9.5,1018.1,1027.2,1006.9,1025.0,1034.3,1013.5,44.0,15.0,240.4,0,0,2381095.0,125464.0,63852.0,63370.0,618552.0,513.5135699,0.052691724,0.026816234,0.026613806,0.259776279,2689.827456,7
2022,1,대구,0.0,0.0,0,1,9,105.1,0.9,6.8,-4.1,0.0,2.3,9.3,1017.3,1026.0,1006.2,1024.2,1033.0,1013.0,47.0,13.0,231.4,0,0,2383858.0,125483.0,64071.0,63615.0,616063.0,513.5135699,0.052638622,0.02687702,0.026685734,0.258431081,2692.948706,4
2022,12,대전,2.0,6.0,1,0,0,109.03,-2.0,3.3,-6.4,14.7,1.6,8.1,1016.8,1025.5,1000.4,1025.8,1034.8,1009.3,62.0,15.0,153.5,0,0,1446072.0,77841.0,40775.0,41768.0,345759.0,504.0223642,0.05382927,0.028197075,0.028883762,0.239102202,2679.555851,2
2022,11,대전,0.0,0.0,0,0,0,108.79,9.5,16.6,3.8,45.8,1.5,7.4,1013.4,1025.7,1000.6,1022.0,1034.9,1009.0,64.0,11.0,183.9,0,0,1446749.0,78034.0,40823.0,41779.0,344724.0,504.0223642,0.053937483,0.028217058,0.02887785,0.238274918,2680.810324,2
2022,10,대전,0.0,0.0,0,1,6,108.94,14.3,20.7,9.1,89.3,1.7,7.1,1013.7,1021.9,999.2,1022.1,1030.9,1007.2,68.0,14.0,215.6,6,1,1446863.0,78462.0,40815.0,41711.0,343528.0,504.0223642,0.054229046,0.028209305,0.028828576,0.237429529,2681.021565,0
2022,9,대전,0.0,0.0,0,1,4,108.53,21.8,27.5,17.4,90.2,2.2,9.6,1005.2,1011.8,985.5,1013.4,1020.1,993.6,69.0,20.0,184.7,2,1,1446602.0,78763.0,40980.0,41577.0,341871.0,504.0223642,0.054446904,0.028328455,0.028741146,0.236326923,2680.537935,0
