OCCRNC_YEAR,OCCRNC_MM,PATNT_CNT,OCCRNC_CNT,OCCRNC_AREA
2021,04,29,2,부산
2021,04,79,1,대구
2021,04,25,1,인천
2021,04,5,2,광주
2021,04,28,4,경기
2021,03,62,3,서울
2021,03,11,3,강원
2021,03,46,1,충남
2021,03,16,2,전북
2021,03,1,1,전남
2021,03,11,2,경남
2021,03,17,2,제주
2021,03,2,1,불명
2021,03,51,2,부산
2021,03,7,2,대전
2021,03,110,1,세종
2021,03,67,1,경기
2021,02,8,1,서울
2021,02,12,3,강원
2021,02,193,2,충남
2021,02,3,1,경남
2021,02,21,1,부산
2021,02,2,1,광주
2021,02,59,2,경기
2021,01,30,1,서울
2021,01,9,1,충북
2021,01,6,1,충남
2021,01,19,1,경북
2021,01,28,1,경남
2021,01,2,1,광주
2021,01,148,1,세종
2021,01,50,2,경기
2020,12,12,1,서울
2020,12,3,1,대구
2020,12,46,2,대전
2020,12,17,3,경기
2020,11,10,1,강원
2020,11,2,1,충북
2020,11,19,1,충남
2020,11,2,1,제주
2020,11,117,1,부산
2020,11,15,1,광주
2020,11,87,4,경기
2020,10,6,1,서울
2020,10,19,1,강원
2020,10,2,1,전북
2020,10,6,1,전남
2020,10,100,1,경북
2020,10,6,1,경남
2020,10,10,1,제주
2020,10,9,1,부산
2020,10,7,1,대구
2020,10,6,2,경기
2020,09,4,1,강원
2020,09,23,3,충북
2020,09,11,2,전북
2020,09,3,1,경남
2020,09,4,1,부산
2020,09,33,2,대구
2020,09,4,1,인천
2020,09,45,3,광주
2020,09,30,2,경기
2020,08,51,2,서울
2020,08,24,2,강원
2020,08,14,1,경북
2020,08,6,2,경남
2020,08,6,1,제주
2020,08,19,4,부산
2020,08,16,2,대구
2020,08,3,1,인천
2020,08,10,1,울산
2020,08,11,2,경기
2020,07,124,3,서울
2020,07,3,1,강원
2020,07,6,1,충북
2020,07,13,1,전북
2020,07,2,1,전남
2020,07,77,4,경북
2020,07,96,2,경남
2020,07,15,3,제주
2020,07,44,3,부산
2020,07,104,1,인천
2020,07,10,1,광주
2020,07,6,1,대전
2020,07,4,1,울산
2020,07,184,7,경기
2020,06,7,2,서울
2020,06,39,1,충북
2020,06,94,1,충남
2020,06,68,5,전남
2020,06,89,1,제주
2020,06,48,4,부산
2020,06,3,1,대구
2020,06,17,1,인천
2020,06,16,1,울산
2020,06,107,2,경기
2020,05,5,1,전북
2020,05,3,1,전남
2020,05,3,1,경남
2020,05,2,1,부산
2020,05,6,1,경기
2020,04,5,1,서울
2020,04,83,2,충북
2020,04,14,3,경북
2020,04,4,1,경남
2020,04,6,1,경기
2020,03,4,1,충북
2020,03,113,2,경기
2020,02,9,1,전남
2020,02,9,2,경북
2020,02,6,1,세종
2020,02,51,5,경기
2020,01,9,3,서울
2020,01,10,2,충북
2020,01,32,5,전북
2020,01,6,1,전남
2020,01,5,2,경북
2020,01,11,1,경남
2020,01,5,2,부산
2020,01,12,2,대구
2020,01,2,1,울산
2020,01,125,9,경기
2019,12,106,6,서울
2019,12,2,1,충북
2019,12,18,1,전북
2019,12,17,1,전남
2019,12,5,1,경북
2019,12,58,2,경남
2019,12,2,1,대구
2019,12,11,1,인천
2019,12,32,4,경기
2019,11,2,1,서울
2019,11,18,1,충남
2019,11,76,2,전남
2019,11,5,1,제주
2019,11,20,2,불명
2019,11,19,1,부산
2019,11,15,1,대구
2019,11,28,3,인천
2019,11,5,1,광주
2019,11,4,1,대전
2019,11,5,1,세종
2019,11,39,3,경기
2019,10,38,2,서울
2019,10,5,1,강원
2019,10,2,1,충북
2019,10,28,2,충남
2019,10,3,1,전북
2019,10,39,1,전남
2019,10,9,2,경남
2019,10,40,2,제주
2019,10,10,1,불명
2019,10,53,3,경기
2019,09,8,2,서울
2019,09,18,2,강원
2019,09,14,2,충북
